,AARON RENTS,AGERE SYSTEMS,ALBERTO CULVER,BENIHANA INC,BERKSHIRE HATHAWAY,BIO RAD,BLACKHAWK NETWORK,BLOCKBUSTER INC,BROWN FORMAN,CHIPOTLE MEXICAN,CONSTELLATION BRANDS,CRAWFORD &,FREESCALE SEMICONDUCTOR,GARTNER GROUP,GRAY COMMUNICATIONS,GREIF INC,HAVERTY FURNITURE,HEICO CORP,HUBBELL INC,I D T CORP,K V PHARMACEUTICAL CO,MCDATA CORP,MCRAE INDUSTRIES,MOOG INC,MUELLER WATER,NEIMAN MARCUS,PENN ENGINEERING,PILGRIMS PRIDE,PLAYBOY ENTERPRISES,SEQUA CORP,SUNPOWER CORP,TRAVELERS PPTY,TRONOX INC,UNDER ARMOUR,WATSCO INC,WHITEWAVE FOODS,WILEY JOHN,Aaron
0,20220504,20061130,20110224,20120110,,,,20100624,,,20190716,,20150506,,,20160301,,,,,20120913,20060724,20051215,20180214,20110126,20040116,20040429,20150501,,20070503,20220512,,20080514,,,20160512,20220929,20220504
1,20210825,20060223,20100128,20100120,,,,20090528,,,20180717,,20140508,,,20150303,,,,,20110908,20051206,20051117,20170215,20100128,,20030501,20140502,,20060504,20210513,,20070508,,,20150514,20210930,20210825
2,,,20090122,20090820,20220430,,,20080528,20220728,20220518,20170718,20220513,20130430,,,20140224,20220509,20230317,,,20100610,20041027,20041216,20160113,20090128,,,20120427,,20050505,20200514,,,20220511,20220606,20140515,20200924,
3,,,20080124,20081023,20210501,,,20061221,20210722,20210518,20160720,20210514,20120425,,,20130225,20210510,20220318,,,20060804,20030827,20031218,20150107,20080130,,,20111216,,20040513,20190516,,,20210513,20210607,20130924,20190926,
4,,,,20071102,20200502,,,20060525,20200730,20200519,20150722,20200515,,,,20120227,20200515,20210319,,,,,,20140108,20070322,,,20090128,,20030508,20180517,,,20200527,20200601,20130417,20180927,
5,,,,20061211,20190504,,,20050511,20190725,20190521,20150722,20190508,,,,20110228,20190513,20200320,,,,,,20130109,,,,20070131,,,20170427,,,20190509,20190603,,20170928,
6,,,,,20180505,,,20040720,20180726,20180522,20140723,20180509,,,,20100222,20180507,20190315,,,,,,20120111,,,,20060125,,,20160428,,,20180509,20180604,,20160922,
7,,,,,20170506,,,20030520,20160728,20170525,20140723,20170510,,,,20090223,20160509,20180316,,,,,,20110112,,,,20040114,,,20150603,,,20170531,20170605,,20151001,
8,,,,,20160430,,,,20150723,20161231,20130724,20160511,,,,20080225,20140512,20170317,,,,,,20100113,,,,,,,20140423,,,20160428,20160606,,20140917,
9,,,,,20150502,,,,20140724,20150513,20130724,20150512,,,,20070226,20130510,20160318,,,,,,20090107,,,,,,,20130724,,,20150826,20150511,,20130919,
10,,,,,20140503,,,,20130725,20140515,20120727,20140508,,,,20060227,20120511,20120326,,,,,,20080109,,,,,,,20120509,,,20150429,20140519,,20120920,
11,,,,,20130504,,,,20120726,20130517,20120727,20130508,,,,20050228,20110509,20110328,,,,,,20070110,,,,,,,20111115,,,20140513,20130520,,20110915,
12,,,,,20120505,,,,20110728,20120531,20110721,20120509,,,,20040223,20040510,20100329,,,,,,20060111,,,,,,,20110503,,,20130430,20120525,,20100916,
13,,,,,20110430,,,,20100722,20110525,20110721,20110505,,,,20030224,20030514,,,,,,,20050112,,,,,,,20100504,,,20120501,20110527,,20080918,
14,,,,,20100501,,,,20090723,20100608,20100722,20100504,,,,,,,,,,,,19880830,,,,,,,20090508,,,20110503,20100604,,20070920,
15,,,,,20100120,,,,20080724,20091221,20100722,20090505,,,,,,,,,,,,20030205,,,,,,,20080508,,,20100504,20090529,,,
16,,,,,20090502,,,,20070726,20090521,20090723,20080506,,,,,,,,,,,,,,,,,,,20070504,,,20090505,20080530,,,
17,,,,,20080503,,,,20060727,20080521,20090723,20070503,,,,,,,,,,,,,,,,,,,20060504,,,20080506,20070525,,,
18,,,,,20070505,,,,20050728,20070613,20080717,20060502,,,,,,,,,,,,,,,,,,,,,,20070508,20060526,,,
19,,,,,20060506,,,,20040722,20060523,20080717,20050426,,,,,,,,,,,,,,,,,,,,,,20060531,20040601,,,
20,,,,,20050430,,,,20031205,,20071206,20040427,,,,,,,,,,,,,,,,,,,,,,,20030603,,,
21,,,,,20040501,,,,20030724,,20071206,20030429,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,20030503,,,,,,20070726,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,20070726,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,20060727,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,20060727,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,20050728,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,20050728,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,20030715,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,20030715,,,,,,,,,,,,,,,,,,,,,,,,,,,
